NodeLabel,NodeID,Connections,Weight,Group
Alzheimer's Disease,DISORDER_ALZHEIMER'S_DISEASE,"[""NCT06894953"", ""NCT07214194"", ""NCT00630500"", ""PMID:41685556"", ""PMID:41686328"", ""PMID:41685608"", ""PMID:41685837"", ""NCT07036328"", ""NCT06624267"", ""NCT06182930"", ""PMID:41686334"", ""PMID:41685767"", ""NCT05468905"", ""PMID:41685554"", ""NCT01561430"", ""PMID:41686291"", ""PMID:41685967"", ""PMID:41686158"", ""NCT03226522"", ""NCT01057030""]",10.0,Disorder
Multiple Dose Japanese Bridging Study...,NCT01057030,"[""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_BMS-708163"", ""INTERVENTION_PLACEBO""]",3.0,ClinicalTrial
BMS-708163,INTERVENTION_BMS-708163,"[""NCT01057030""]",2.0,Intervention
Placebo,INTERVENTION_PLACEBO,"[""NCT03226522"", ""NCT01057030"", ""NCT01561430"", ""NCT00630500""]",8.0,Intervention
Test of Reproducibility of [15O]H20-PET Assessment...,NCT06624267,"[""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_PET""]",3.0,ClinicalTrial
PET,INTERVENTION_PET,"[""NCT06624267""]",2.0,Intervention
Efficacy and Safety of Memantine for Parkinson's D...,NCT00630500,"[""INTERVENTION_MEMANTINE"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_PLACEBO""]",3.0,ClinicalTrial
Memantine,INTERVENTION_MEMANTINE,"[""NCT00630500""]",2.0,Intervention
Study of LY2886721 in Mild Cognitive Impairment Du...,NCT01561430,"[""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_LY2886721"", ""INTERVENTION_PLACEBO""]",3.0,ClinicalTrial
LY2886721,INTERVENTION_LY2886721,"[""NCT01561430""]",2.0,Intervention
Education of Caregivers of Alzheimer's Patients...,NCT06182930,"[""INTERVENTION_WITHIN_THE_SCOPE_OF_THE_RESEARCH,_CAREGIVERS_WILL_BE_GIVEN_FACE-TO-FACE_TRAINING_IN_2_SESSIONS,_15_DAYS_APART."", ""DISORDER_ALZHEIMER'S_DISEASE""]",3.0,ClinicalTrial
"Within the scope of the research, caregivers will be given face-to-face training in 2 sessions, 15 days apart.","INTERVENTION_WITHIN_THE_SCOPE_OF_THE_RESEARCH,_CAREGIVERS_WILL_BE_GIVEN_FACE-TO-FACE_TRAINING_IN_2_SESSIONS,_15_DAYS_APART.","[""NCT06182930""]",2.0,Intervention
Transcranial Magnetic Stimulation to Slow Down Cog...,NCT07036328,"[""INTERVENTION_SHAM_REPETITIVE_TRANSCRANIAL_MAGNETIC_STIMULATION"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_REPETITIVE_TRANSCRANIAL_MAGNETIC_STIMULATION""]",3.0,ClinicalTrial
repetitive transcranial magnetic stimulation,INTERVENTION_REPETITIVE_TRANSCRANIAL_MAGNETIC_STIMULATION,"[""NCT07036328""]",2.0,Intervention
sham repetitive transcranial magnetic stimulation,INTERVENTION_SHAM_REPETITIVE_TRANSCRANIAL_MAGNETIC_STIMULATION,"[""NCT07036328""]",2.0,Intervention
China Longitudinal Aging and Cognitive Impairment ...,NCT05468905,"[""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_NONE_OF_INTERVENTION""]",3.0,ClinicalTrial
None of intervention,INTERVENTION_NONE_OF_INTERVENTION,"[""NCT05468905""]",2.0,Intervention
Vagus Nerve Stimulation to Enhance Memory in Aging...,NCT07214194,"[""INTERVENTION_TRANSCUTANEOUS_AURICULAR_VAGUS_NERVE_STIMULATION_(TAVNS)"", ""DISORDER_ALZHEIMER'S_DISEASE""]",3.0,ClinicalTrial
Transcutaneous Auricular Vagus Nerve Stimulation (taVNS),INTERVENTION_TRANSCUTANEOUS_AURICULAR_VAGUS_NERVE_STIMULATION_(TAVNS),"[""NCT07214194""]",2.0,Intervention
Addressing Dementia Via Agitation-Centered Evaluat...,NCT03226522,"[""INTERVENTION_AXS-05"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_PLACEBO"", ""INTERVENTION_BUPROPION""]",3.0,ClinicalTrial
AXS-05,INTERVENTION_AXS-05,"[""NCT03226522""]",2.0,Intervention
Bupropion,INTERVENTION_BUPROPION,"[""NCT03226522""]",2.0,Intervention
AMPER Proof of Concept Study...,NCT06894953,"[""DISORDER_ALZHEIMER'S_DISEASE"", ""INTERVENTION_PERSONALISED_AGENT-BASED_MEMORY_PROSTHESIS_TO_ENCOURAGE_REMINISCING_(AMPER)"", ""INTERVENTION_NON-PERSONALISED_AGENT-BASED_MEMORY_PROSTHESIS_TO_ENCOURAGE_REMINISCING_(AMPER)""]",3.0,ClinicalTrial
Personalised Agent-based Memory Prosthesis to Encourage Reminiscing (AMPER),INTERVENTION_PERSONALISED_AGENT-BASED_MEMORY_PROSTHESIS_TO_ENCOURAGE_REMINISCING_(AMPER),"[""NCT06894953""]",2.0,Intervention
Non-Personalised Agent-based Memory Prosthesis to Encourage Reminiscing (AMPER),INTERVENTION_NON-PERSONALISED_AGENT-BASED_MEMORY_PROSTHESIS_TO_ENCOURAGE_REMINISCING_(AMPER),"[""NCT06894953""]",2.0,Intervention
Web of Potentials: Neuroactive Components of Spide...,PMID:41686334,"[""AUTHOR_JOSHUA_LAWRENCE_C_BAUTISTA"", ""AUTHOR_SIMON_MIGUEL_M_LOPEZ"", ""AUTHOR_LEONARDO_A_GUEVARRA"", ""AUTHOR_CHARLES_NYLXON_C_NORIEGA"", ""AUTHOR_JADEN_G_JARDIOLIN"", ""AUTHOR_RIZELLE_ANNE_A_CALPO"", ""AUTHOR_ELIAN_ANGELO_M_ABELLANOSA"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_MARK_KEVIN_P_DEVANADERA""]",2.0,PubMedArticle
Joshua Lawrence C Bautista,AUTHOR_JOSHUA_LAWRENCE_C_BAUTISTA,"[""PMID:41686334""]",1.0,Author
Elian Angelo M Abellanosa,AUTHOR_ELIAN_ANGELO_M_ABELLANOSA,"[""PMID:41686334""]",1.0,Author
Jaden G Jardiolin,AUTHOR_JADEN_G_JARDIOLIN,"[""PMID:41686334""]",1.0,Author
Rizelle Anne A Calpo,AUTHOR_RIZELLE_ANNE_A_CALPO,"[""PMID:41686334""]",1.0,Author
Charles Nylxon C Noriega,AUTHOR_CHARLES_NYLXON_C_NORIEGA,"[""PMID:41686334""]",1.0,Author
Mark Kevin P Devanadera,AUTHOR_MARK_KEVIN_P_DEVANADERA,"[""PMID:41686334""]",1.0,Author
Simon Miguel M Lopez,AUTHOR_SIMON_MIGUEL_M_LOPEZ,"[""PMID:41686334""]",1.0,Author
Leonardo A Guevarra,AUTHOR_LEONARDO_A_GUEVARRA,"[""PMID:41686334""]",1.0,Author
Xmu-mp-1 attenuates streptozotocin-induced neuroto...,PMID:41686328,"[""AUTHOR_AMAL_CHANDRA_MONDAL"", ""AUTHOR_MIR_HILAL_AHMAD"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_MANAS_RANJAN_SAHU""]",2.0,PubMedArticle
Manas Ranjan Sahu,AUTHOR_MANAS_RANJAN_SAHU,"[""PMID:41686328""]",1.0,Author
Mir Hilal Ahmad,AUTHOR_MIR_HILAL_AHMAD,"[""PMID:41686328""]",1.0,Author
Amal Chandra Mondal,AUTHOR_AMAL_CHANDRA_MONDAL,"[""PMID:41686328""]",1.0,Author
Capturing silent oxidative stress in early Alzheim...,PMID:41686291,"[""AUTHOR_REINALD_PAMPLONA"", ""AUTHOR_ANNA_MICHELA_GAETA"", ""AUTHOR_FARIDA_DAKTERZADA"", ""AUTHOR_LORENA_GALLEGO_VI\u00d1AR\u00c1S"", ""AUTHOR_PABLO_MART\u00cdNEZ_OLMOS"", ""AUTHOR_FERRAN_BARB\u00c9"", ""AUTHOR_ARRATE_MU\u00d1OZ-BARRUTIA"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_GERARD_PI\u00d1OL-RIPOLL""]",2.0,PubMedArticle
Anna Michela Gaeta,AUTHOR_ANNA_MICHELA_GAETA,"[""PMID:41686291""]",1.0,Author
Lorena Gallego Viñarás,AUTHOR_LORENA_GALLEGO_VIÑARÁS,"[""PMID:41686291""]",1.0,Author
Ferran Barbé,AUTHOR_FERRAN_BARBÉ,"[""PMID:41686291""]",1.0,Author
Pablo Martínez Olmos,AUTHOR_PABLO_MARTÍNEZ_OLMOS,"[""PMID:41686291""]",1.0,Author
Reinald Pamplona,AUTHOR_REINALD_PAMPLONA,"[""PMID:41686291""]",1.0,Author
Farida Dakterzada,AUTHOR_FARIDA_DAKTERZADA,"[""PMID:41686291""]",1.0,Author
Arrate Muñoz-Barrutia,AUTHOR_ARRATE_MUÑOZ-BARRUTIA,"[""PMID:41686291""]",1.0,Author
Gerard Piñol-Ripoll,AUTHOR_GERARD_PIÑOL-RIPOLL,"[""PMID:41686291""]",1.0,Author
Ultrasensitive Saliva-Based Detection of Early Alz...,PMID:41686158,"[""AUTHOR_GEORG_LADURNER"", ""AUTHOR_LAURA_PEREGO"", ""AUTHOR_MILANA_KENDRISIC"", ""AUTHOR_BERNHARD_BAUMANN"", ""AUTHOR_ADELHEID_W\u00d6HRER"", ""AUTHOR_MANUELA_PROKESCH"", ""AUTHOR_LUISA_PONTICELLI"", ""AUTHOR_FEDERICA_FENIZI_CARIA"", ""AUTHOR_FRANCESCO_SAVERIO_PAVONE"", ""AUTHOR_CATERINA_CREDI"", ""AUTHOR_RAINER_LEITGEB"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_CLAUDIA_MANZL"", ""AUTHOR_CATERINA_DALLARI"", ""AUTHOR_FRANCESCO_GORETTI""]",2.0,PubMedArticle
