Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
dvoGOemBHnw,68000,People,,UCIWVhX7FIDppSezcXGynfFg,greenhouse video7 music,Private,Processed,2024-08-18T20:17:50+00:00,
WFYhGmHo1pg,55000,People,The Greenhouse for Mental Health Development Overview,UCIWVhX7FIDppSezcXGynfFg,The Greenhouse for Mental Health Development Overview,Public,Processed,2024-08-18T20:18:50+00:00,2024-08-18T20:45:11+00:00
9fzfqbRBlIo,52000,People,The Greenhouse for Mental Health Development Overview,UCIWVhX7FIDppSezcXGynfFg,The Greenhouse for Mental Health Development Overview,Public,Processed,2024-08-18T20:19:48+00:00,2024-08-18T20:44:20+00:00
OY8Kk6PTXjQ,55000,People,,UCIWVhX7FIDppSezcXGynfFg,greenhouse video5b,Private,Processed,2024-08-18T20:20:42+00:00,
kQPSdd_ZWCA,53000,People,,UCIWVhX7FIDppSezcXGynfFg,greenhouse video5a,Private,Processed,2024-08-18T20:21:09+00:00,
 -e_hwkqirN4,75000,People,The Greenhouse for Mental Health Development BIPOC Mental Health Awareness Month,UCIWVhX7FIDppSezcXGynfFg,The Greenhouse for Mental Health Development BIPOC Mental Health Awareness Month,Public,Processed,2024-08-18T20:21:36+00:00,2024-08-18T20:42:40+00:00
8SNOc_Vfavk,70000,People,The Greenhouse for Mental Health Development BIPOC Mental Health Awareness Month,UCIWVhX7FIDppSezcXGynfFg,The Greenhouse for Mental Health Development BIPOC Mental Health Awareness Month,Public,Processed,2024-08-18T20:22:20+00:00,2024-08-18T20:42:10+00:00
yhzfg0GyOMk,71000,People,,UCIWVhX7FIDppSezcXGynfFg,greenhouse video3,Private,Processed,2024-08-18T20:22:57+00:00,
PisDo7xoXJE,72000,People,,UCIWVhX7FIDppSezcXGynfFg,greenhouse video2,Private,Processed,2024-08-18T20:23:26+00:00,
pUftzfdPEbo,51000,People,"#MentalHealth
#MentalHealthAwareness
The Greenhouse for Mental Health Development
Bloom into your better self

**🌱 Welcome to the Greenhouse for Mental Health Development: ""Bloom into Your Better Self"" 🌱**

In this video, discover how the Greenhouse for Mental Health Development P.C. is dedicated to nurturing mental well-being for individuals of all ages. Our mission is to provide a comprehensive range of mental health solutions tailored to your unique journey towards better health.

🧠 **Explore Our Services:**
We offer a wide array of mental health services, including treatment for:
- Anxiety
- ADHD
- Autism
- Bipolar Disorder
- Child Mental Health Issues
- Depression
- Divorce
- Drug and Alcohol Abuse
- Eating Disorders
- Body Image Disorders
- Family Conflict
- LGBTQ+ Mental Health Issues
- Obsessive-Compulsive Disorders
- Racial Identity Issues
- Schizophrenia
- Women's Issues

👩‍⚕️ **Meet Dr. Ayodele Green:**
Led by our Board-Certified Psychiatrist, Dr. Ayodele Green, we employ various evidence-based therapeutic approaches including Psychodynamic Psychotherapy, Cognitive-Behavioral Therapy, Dialectical Behavioral Therapy, and Interpersonal Psychotherapy. Dr. Green’s extensive training includes a Psychiatry Residency at Harlem Hospital of Columbia University and a Fellowship in Child and Adolescent Psychiatry at UMDNJ.

💻 **Flexible Appointment Options:**
We understand that mental health care needs to be accessible. That’s why we offer both in-person and online appointments, ensuring you can find the support you need, wherever you are.

🌼 **Why Choose Us?**
At the Greenhouse for Mental Health Development, we take a patient-centered, holistic approach, combining psychotherapy and medication management to help you bloom into your better self.

📍 **Visit Us:**
Location: 115 Route 46 West BLDG F #14, Mountain Lakes, NJ 07046

✨ **Join Us on Your Journey to Wellness!**
If you or a loved one is seeking support, don't hesitate to reach out. Hit that subscribe button for more insightful content on mental health and wellness, and share this video with anyone who might benefit from our services.

🌟 **Let's grow together!** 🌟

#MentalHealth #Psychiatry #Therapy #BloomIntoYourBetterSelf #GreenhouseForMentalHealth #Anxiety #Depression #ADHD #LGBTQ+ #ChildPsychiatry #HolisticHealth #DrAyodeleGreen #MentalHealthAwareness #WellnessJourney",UCIWVhX7FIDppSezcXGynfFg,#MentalHealth #mentalhealthawareness #shorts #short The Greenhouse for Mental Health Development,Public,Processed,2024-08-19T21:04:25+00:00,2024-08-19T21:08:07+00:00
