ui,year,count
D001522,1975,33
D009043,1975,22
D009119,1975,93
D012890,1975,46
D001007,1975,35
D008564,1975,65
D005215,1975,21
D001523,1975,53
D005071,1975,102
D009435,1975,46
D001519,1975,14
D013239,1975,10
D011930,1975,41
D010698,1975,12
D012018,1975,24
D009200,1975,57
D005082,1975,54
D005247,1976,41
D001522,1976,69
D011618,1975,18
D003863,1975,54
D000437,1975,64
D013315,1975,18
D019966,1975,24
D010146,1975,41
D012890,1976,69
D000200,1975,58
D005247,1975,29
D011187,1975,28
D013375,1975,19
D001291,1975,31
D008607,1975,50
D005215,1976,31
D012559,1975,54
D012559,1976,110
D011930,1976,63
D013315,1976,31
D010698,1976,34
D012907,1975,40
D012018,1976,44
D001007,1976,76
D003863,1976,60
D011618,1976,27
D012907,1976,43
D001523,1976,55
D008564,1976,140
D009200,1976,77
D008607,1976,22
D001291,1976,43
D009119,1976,135
D000200,1976,86
D000437,1976,73
D009043,1976,61
D005071,1976,80
D013375,1976,40
D019966,1976,70
D009435,1976,66
D001519,1976,24
D013239,1976,20
D005082,1976,78
D009068,1975,22
D010146,1976,46
D011187,1976,37
D009068,1976,28
D019966,1977,48
D008564,1977,152
D001523,1977,38
D005215,1977,24
D009043,1977,51
D009119,1977,152
D001007,1977,71
D013375,1977,39
D012018,1977,28
D012907,1977,25
D008607,1977,9
D001522,1977,55
D000200,1977,62
D009435,1977,66
D009200,1977,82
D005071,1977,21
D000437,1977,38
D003863,1977,46
D012559,1977,69
D013315,1977,28
D005082,1977,60
D012890,1977,32
D010146,1977,37
D011930,1977,27
D010698,1977,24
D013239,1977,24
D001519,1977,28
D011618,1977,20
D001291,1977,9
D011187,1977,19
D005247,1977,15
D009068,1977,17
D005247,1978,23
D012890,1978,39
D003863,1978,61
D011618,1978,27
D005082,1978,63
D010146,1978,48
D001007,1978,65
D013315,1978,37
D011930,1978,34
D009043,1978,73
D013239,1978,31
D001522,1978,82
D009119,1978,124
D000200,1978,72
D008564,1978,130
D009200,1978,59
D009435,1978,61
D012907,1978,24
D013375,1978,36
D019966,1978,46
D012559,1978,103
D001519,1978,34
D012018,1978,21
D008607,1978,8
D001523,1978,61
D000437,1978,46
D010698,1978,23
D005215,1978,19
D001291,1978,12
D011187,1978,22
D009068,1978,15
D005071,1978,27
D009200,1979,79
D010146,1979,40
D001007,1979,69
D011618,1979,41
D012559,1979,137
D012018,1979,25
D009043,1979,70
D000437,1979,64
D013375,1979,56
D001522,1979,78
D013239,1979,42
D011187,1979,30
D005247,1979,27
D000200,1979,65
D008564,1979,130
D009435,1979,97
D009119,1979,135
D003863,1979,79
D001523,1979,80
D013315,1979,32
D001519,1979,36
D019966,1979,45
D011930,1979,23
D005082,1979,60
D012890,1979,60
D001291,1979,14
D012907,1979,27
D010698,1979,22
D008607,1979,12
D005071,1979,33
D009068,1979,25
D005215,1979,13
D011930,1980,3
D009043,1980,3
D012018,1980,2
D005071,1980,2
D013315,1980,3
D009200,1980,5
D001523,1980,2
D012907,1980,2
D003863,1980,3
D000437,1980,6
D013375,1980,4
D001522,1980,1
D012559,1980,3
D005082,1980,3
D019966,1980,4
D000200,1980,2
D010146,1980,3
D001519,1980,1
D013239,1980,1
D012890,1980,1
D011187,1981,1
D001522,1981,1
D012890,1981,1
D009435,1981,1
D000437,1982,1
D011930,1986,1
D013375,1986,1
D005082,1989,1
