term,target_probability
Action Potentials,0.9802293452446958
Alcoholism,0.9801343248951956
Anxiety,0.9801214401012723
Attitude of Health Personnel,0.9794974202943103
Behavior,0.9795427464565446
"Behavior, Animal",0.9800980748970153
Depression,0.9801373004494902
Evoked Potentials,0.9800818512022001
Fasting,0.979482444592507
Feeding Behavior,0.9796592740260089
Intellectual Disability,0.9794097142383297
Membrane Potentials,0.9804940494445362
Mental Disorders,0.980108558363713
Motor Activity,0.9799939086381049
Movement,0.9794785369778779
Muscle Contraction,0.9805448418465992
Myocardial Contraction,0.9802196338635463
Pain,0.9799436506646151
Phobic Disorders,0.9794585269613078
Physical Exertion,0.9802417380031458
Posture,0.9796349067005602
Psychotic Disorders,0.9795685062292623
Reaction Time,0.9798839278775704
Reflex,0.9796643400588849
Schizophrenia,0.9803562896900987
Sleep,0.980012572967
Smoking,0.9797787687978036
Stereotyped Behavior,0.9794315179010569
"Stress, Psychological",0.9796414221536518
Substance Withdrawal Syndrome,0.979769805147343
Substance-Related Disorders,0.9799349250629764
Synaptic Transmission,0.9801468767739031
