render_description,render_change,score_change,improvement_category,total_score,contrast,whitespace,edge_density,color_entropy,feature_density,symmetry,duration,agent_id
mutation_1_Brain_Rainbow_Activation,-1.1734058856964111,11.714062874099938,Performance Win,-141.94471777603817,33.453111247011876,0.0677,0.16100397918579737,2.088627064475945,0.093,0.9449300305882353,20.249940872192383,10-999
mutation_3_Brain_Neon_Mode,-10.958515644073486,109.51677180012629,Performance Win,-32.427945975911875,33.417064334437875,0.0676,0.16182022242628302,2.0795548276116302,0.097,0.9430311156078425,9.291425228118896,10-999
mutation_4_Brain_Starry_Background,0.440274715423584,-4.3912907069340505,Regression,-36.819236682845926,33.387689736086415,0.0679,0.16079991837567595,2.081783576907135,0.0952,0.9437251353725487,9.73169994354248,10-999
mutation_6_Brain_Node_Halos,-0.5503292083740234,5.583956317685875,Performance Win,-31.23528036516005,33.388221609071884,0.0677,0.16100397918579737,2.0998632363977157,0.0924,0.9429842337254896,9.181370735168457,10-999
mutation_7_Synapse_Bouncing_Particles,0.03284931182861328,-0.4217962226426124,Neutral,-31.657076587802663,33.389188407521736,0.0675,0.16100397918579737,2.0831059356814334,0.0948,0.9447205030588233,9.21422004699707,10-999
mutation_8_Synapse_Trail_Effect,-0.030658721923828125,0.3226272763996576,Neutral,-31.334449311403006,33.377670063158874,0.0675,0.16018773594531172,2.087465781549996,0.0932,0.9439917127843132,9.183561325073242,10-999
mutation_10_Synapse_Gradient_Background,0.1364915370941162,-1.3225179574872996,Regression,-32.656967268890305,33.3829704795285,0.0676,0.1603917967554331,2.0944152226038053,0.0932,0.9433766045490191,9.320052862167358,10-999
mutation_11_Synapse_Particle_Explosion,-0.22241997718811035,2.247901883718505,Performance Win,-30.4090653851718,33.47762519349436,0.0677,0.1614121008060402,2.0886901735747,0.0946,0.9449152652549021,9.097632884979248,10-999
mutation_12_Synapse_Vesicle_Wobble,0.2187480926513672,-2.262062334064794,Regression,-32.671127719236594,33.38584001156804,0.0676,0.15967758392000816,2.083952410257108,0.094,0.9432466152156858,9.316380977630615,10-999
mutation_13_Synapse_ZigZag_Path,-0.0006880760192871094,0.042070108673726736,Neutral,-32.62905761056287,33.36109157540574,0.0675,0.15977961432506887,2.0944651235695084,0.093,0.9432214972549013,9.315692901611328,10-999
mutation_14_Environment_Day/Night_Cycle,-0.23001813888549805,2.1806377470502127,Performance Win,-30.448419863512655,33.364491932487546,0.0429,0.16835016835016836,2.316216359500375,0.0924,0.9420817408627445,9.08567476272583,10-999
mutation_15_Environment_Rain_Effect,0.3628718852996826,-3.4580673143229888,Regression,-33.90648717783564,33.34365269733962,0.0677,0.1612080399959188,2.104430590749935,0.0958,0.9431768410980385,9.448546648025513,10-999
mutation_16_Environment_Clouds,-0.14748930931091309,1.4222081262537074,Performance Win,-32.484279051581936,33.42883999348576,0.0675,0.16059585756555453,2.087374867764236,0.0922,0.9434033535686269,9.3010573387146,10-999
mutation_17_Environment_Grass_Texture,-0.11636853218078613,1.363484935657553,Performance Win,-31.120794115924383,33.63298339431574,0.0678,0.16498316498316498,2.103920450451177,0.0966,0.9430813187450974,9.184688806533813,10-999
mutation_18_Environment_Sun_Rays,-0.0937643051147461,-0.11210926770933582,Performance Win,-31.23290338363372,29.67708754198358,0.0606,0.1587593102744618,2.3615595719130336,0.0914,0.9462920861176474,9.090924501419067,10-999
mutation_19_Environment_Icon_Bobbing,0.11056065559387207,-0.20933498248798088,Regression,-31.4422383661217,33.39152025100373,0.0677,0.16059585756555453,2.0983706157011652,0.093,0.9431872277647052,9.20148515701294,10-999
mutation_20_Environment_Vignette,0.06197714805603027,7.013537221365631,Regression,-24.42870114475607,62.618716072423716,0.0419,0.14825017855320885,2.960312773944354,0.113,0.7648464301176501,9.26346230506897,10-999
mutation_21_Environment_Sepia_Tone,0.15056872367858887,-2.977680172940488,Regression,-27.406381317696557,44.05608230915526,0.0515,0.15447403326191206,2.4261775630402793,0.0722,0.9505708097254908,9.414031028747559,10-999
mutation_22_Environment_Glitch_Effect,-0.40035510063171387,-3.5169013376004585,Regression,-30.923282655297015,32.9240596013265,0.0484,0.14712784409754107,2.066289365039637,0.0898,0.946971944156863,9.013675928115845,10-999
mutation_23_Environment_Spotlight,0.2235126495361328,11.174048537848918,Regression,-19.749234117448097,102.2801243518846,0.0128,0.0529537802265075,2.1685178966258762,0.02,0.8663081168627458,9.237188577651978,10-999
mutation_24_Environment_Paper_Texture,0.0521700382232666,-12.488675817803554,Regression,-32.23790993525165,33.402552853627,0.0674,0.16192225283134373,2.1168799593374583,0.0966,0.9422139298823523,9.289358615875244,10-999
